datetime,date,hour,total emojis,average emojis,total score,average scores,average body length
2013-02-04T18,2013-02-04,18,3942,1.2933070866141732,13819,4.5337926509186355,157.41797900262466
2013-02-06T16,2013-02-06,16,5316,1.1753261109882822,19186,4.241874861817378,148.82909573292062
2013-02-13T08,2013-02-13,08,8209,1.3328462412729338,35841,5.819288845591817,168.57720409157332
2013-02-06T10,2013-02-06,10,7066,1.2891808064221857,31498,5.7467615398649885,157.9098704615946
2013-02-17T07,2013-02-17,07,7044,1.6981677917068467,23529,5.672372227579556,163.97082931533268
2013-02-24T02,2013-02-24,02,4128,1.292018779342723,22208,6.950860719874805,149.97902973395932
2013-02-12T23,2013-02-12,23,3060,1.4648157012924845,13149,6.2943992340832935,169.10722833891813
2013-02-08T22,2013-02-08,22,2864,1.668997668997669,6247,3.6404428904428903,165.98834498834498
2013-02-13T19,2013-02-13,19,3830,1.5607171964140178,10899,4.441320293398533,165.3247758761206
2013-02-02T12,2013-02-02,12,6792,1.5345684591052868,21875,4.942385901491188,152.9469046543154
2013-02-26T10,2013-02-26,10,7004,1.3353670162059104,27663,5.274165872259295,161.1731172545281
2013-02-28T20,2013-02-28,20,2425,1.29887520085699,7330,3.9260846277450456,162.00910551687198
2013-02-03T12,2013-02-03,12,5567,1.3346919204027812,20528,4.921601534404219,150.59314313114362
2013-02-05T12,2013-02-05,12,7440,1.441860465116279,30262,5.864728682170543,154.8548449612403
2013-02-07T00,2013-02-07,00,4290,1.557168784029038,15553,5.645372050816697,169.8431941923775
2013-02-09T21,2013-02-09,21,1602,1.0107255520504732,7265,4.583596214511041,153.63470031545742
2013-02-18T02,2013-02-18,02,4056,1.2710748981510498,23647,7.410529614540896,167.2378564713256
2013-02-01T21,2013-02-01,21,2629,1.5284883720930234,9974,5.7988372093023255,180.21162790697673
2013-02-03T01,2013-02-03,01,3760,1.5838247683235047,15989,6.7350463352990735,167.2363100252738
2013-02-04T12,2013-02-04,12,4991,0.9867536575721629,29362,5.805061289047054,129.5409252669039
2013-02-07T18,2013-02-07,18,3563,1.3089639970609845,10085,3.7049963262307126,164.70977222630418
2013-02-27T06,2013-02-27,06,8195,1.4787080476362324,35739,6.448754962107542,181.11439913388668
2013-02-05T06,2013-02-05,06,8472,1.4782760425754669,31873,5.561507590298377,169.6414238352818
2013-02-28T21,2013-02-28,21,2468,1.5580808080808082,7860,4.962121212121212,187.27588383838383
2013-02-05T02,2013-02-05,02,5587,1.3884194831013916,23062,5.731113320079523,170.41824055666004
2013-02-04T16,2013-02-04,16,5641,1.1798786864672663,23317,4.87701317715959,153.20665132817402
2013-02-22T21,2013-02-22,21,3526,1.970933482392398,8607,4.811067635550587,178.2655114589156
2013-02-19T20,2013-02-19,20,3317,1.7634237107921318,6881,3.658160552897395,177.80489101541733
2013-02-08T11,2013-02-08,11,7356,1.3960903397229076,23817,4.5202125640539,164.27348643006263
2013-02-10T16,2013-02-10,16,7226,1.5729212015672616,26776,5.828471919895516,149.42707879843275
2013-02-06T09,2013-02-06,09,8208,1.4845360824742269,30644,5.5424127328630854,166.68041237113403
2013-02-17T12,2013-02-17,12,5436,1.3004784688995215,26827,6.417942583732057,153.00693779904307
2013-02-09T02,2013-02-09,02,6505,1.429984612002638,33150,7.287315893602989,167.4282259837327
2013-02-12T18,2013-02-12,18,4521,1.565985452026325,10036,3.476272947696571,167.87010737790092
2013-02-24T15,2013-02-24,15,5363,1.2750832144555397,18721,4.451022349025202,151.0967665240133
2013-02-24T16,2013-02-24,16,6243,1.4974814104101704,21783,5.22499400335812,152.9462700887503
2013-02-02T21,2013-02-02,21,2168,1.4281949934123848,7817,5.149538866930171,160.86627140974966
2013-02-04T07,2013-02-04,07,6936,1.3756445854819517,27471,5.448433161443871,161.8137643792146
2013-02-02T10,2013-02-02,10,7148,1.4356296445069292,24755,4.9718819039967865,162.79574211689095
2013-02-10T07,2013-02-10,07,6058,1.296938557054164,31479,6.739242132305717,158.92143010062085
2013-02-11T17,2013-02-11,17,7290,1.8939984411535464,15993,4.15510522213562,155.32995583268382
2013-02-22T22,2013-02-22,22,3401,1.862541073384447,7851,4.2995618838992335,169.2092004381161
2013-02-21T18,2013-02-21,18,5547,1.9320794148380356,12646,4.40473702542668,175.2511320097527
2013-02-21T06,2013-02-21,06,8763,1.5322608847700647,29407,5.141982864137087,172.9328553942997
2013-02-27T14,2013-02-27,14,7035,1.2553533190578159,27668,4.937187723054961,149.39061384725196
2013-02-23T18,2013-02-23,18,3860,1.4549566528458349,10441,3.935544666415379,142.87712024123633
2013-02-28T13,2013-02-28,13,9281,1.611564507727036,25929,4.502344156971697,147.50824795971522
2013-02-08T15,2013-02-08,15,6769,1.402901554404145,19102,3.9589637305699483,150.29740932642488
2013-02-15T02,2013-02-15,02,5938,1.3373873873873874,28675,6.458333333333333,165.57004504504505
